Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin
50.51,Male,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,Strength,29.0715285,3.49,4.01,2.98,32.51,3,0.02,258.98,102.72,68.72,2476,Other,Breakfast,Keto,10,1356.53,170.61,270.38,Baked,41.73,119.53,2.54,Plank,4.99,17.03,Targets obliques and improves core rotation,356.2,"Lower Chest, Triceps",Wall,Intermediate,Abs,Triceps,Bicep Curls,32.50780985,2065.28,0.5015881624,1.189301841,0.8280446385,0.8898831718,501.74,61.26092084,1203.956,9.98E+19,High
47.77,Female,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,HIIT,23.6493182,3.51,5.02,3.01,25.33,3.01,0.01,231.16,93.27,61.23,2232,Other,Snack,Keto,11.88,323.04,135.18,393.39,Grilled,11.26,26.52,4.07,Pull-ups,4,20.97,Strengthens lower body,361.13,"Chest, Triceps",Dumbbells,Advanced,Shoulders,Quads,Face pulls,25.32604758,1848.79,0.5001325191,1.111813089,0.7405354627,0.8433885235,-501.4,64.05058696,1379.5166,1.12E+20,Very High
19,Male,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,HIIT,24.12878692,3.5,5.02,2.99,21.52,3.01,0.01,181.82,71.6,48.11,2569,Other,Dinner,Vegan,30.3,80.98,210.51,239.19,Baked,10.14,116.47,2.91,Lunges,3.99,23.95,Isolates triceps,357.96,"Core, Shoulders, Hips",Bench or Sturdy Surface,Advanced,Abs,Lower Chest,Seated calf raises,21.51707622,1446.67,0.5027269522,0.866198887,0.9548346626,0.9709928058,-131.62,62.71514473,1353.0888,1.04E+20,High
38.01,Female,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,HIIT,26.5944312,2.71,5,3,23.7,3.98,2.99,369.71,147.77,98.38,1726,Other,Breakfast,Low-Carb,35.84,131.07,244.36,471.47,Grilled,37.25,74.43,3.91,Turkish Get-ups,4.99,14.93,Builds unilateral leg strength and balance,338.54,"Lower Chest, Triceps",None or Dumbbells,Advanced,Shoulders,Triceps,Fat grip dumbbell curl,23.69740302,2955.34,0.5003958935,2.562337437,0.5989913655,0.7161862528,-619.2,42.33299153,1110.4112,6.59E+19,Medium
27.39,Female,71.79,1.97,180.96,151.11,72.68,0.75,743.85,Strength,24.47776253,3.59,3.01,1.02,18.5,3.01,0.02,207.16,82.59,55.08,2046,Other,Lunch,Low-Carb,16.18,674.45,127.06,306.18,Roasted,47.37,119.27,4.24,Plyo Squats,4,15.13,Improves core stability,356.83,"Shoulders, Triceps",Barbell,Advanced,Chest,Middle,Hammer curls,18.49828648,1654.72,0.5007735448,1.15043878,0.7243258219,0.8350464191,1302.15,54.21741428,535.245,1.01E+20,High
18.86,Female,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,Strength,28.04992817,2.3,4,1.98,27.79,2,0.96,298.25,118.86,79.54,2455,Other,Snack,Paleo,25.56,835.15,299.07,300.06,Raw,60.3,15.35,2.65,Squats,4.99,17.87,Improves core stability and balance,359.74,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Advanced,Legs,Lower,Plate pinch,27.79254931,2384.3,0.5003564988,1.249579479,0.6634904714,0.7521110407,1161.16,68.43890832,863.376,1.08E+20,High
40.36,Male,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,Strength,21.80926489,2.69,5.02,3.01,19.45,1.98,0.01,192.66,76.8,51.19,1740,Other,Breakfast,Paleo,43.14,58.47,291.5,352.42,Raw,54.98,40.14,2.88,Frog Jumps,5,20.9,Strengthens back and improves posture,342.47,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Forearms,Triceps,Donkey kicks,19.45213912,1538.55,0.500887199,1.35021097,0.7633716046,0.8491251042,-449.58,44.47489013,1280.8378,7.24E+19,Medium
37.14,Male,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,Cardio,30.30073791,2.09,4,2,24.41,2.99,-0.02,233.62,92.99,62.41,2166,Other,Breakfast,Low-Carb,27.8,434.36,271.65,370.94,Steamed,39.18,37.58,4.9,Step-ups,5,16.98,Improves balance and leg strength,356.98,"Quadriceps, Hamstrings, Glutes",Bench or Step,Beginner,Chest,Anterior,Decline dumbbell press,24.41188675,1868.13,0.5002221473,1.215873431,0.5750829758,0.7088579511,860.4,53.30599564,970.9856,1.02E+20,High
18.93,Male,72.56,1.79,177.48,124.41,60.95,0.81,803.36,Strength,26.4051144,1.58,2.99,1.02,22.65,2.99,0.02,219.75,87.27,58.09,1802,Other,Lunch,Vegetarian,5.03,1193.73,252.47,366.68,Baked,12.55,43.72,1.1,Lunges,4,25.07,Improves posture and strengthens upper back,332.12,"Chest, Triceps",Low Bar or TRX,Beginner,Legs,Wrist Flexors,Barbell curls,22.64598483,1750.89,0.502030396,1.202728776,0.5445807946,0.7009803922,998.64,53.40044899,538.0344,5.64E+19,Low
46,Male,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,HIIT,21.80402936,2.51,4.01,2,21.28,1.99,0.01,247.96,99.4,66.24,1716,Other,Lunch,Vegetarian,16.21,1318.33,53.39,122.1,Fried,28.89,35.79,1.07,Deadlifts,4,23.01,Isolates and strengthens triceps,350.23,"Core, Shoulders, Legs",Wall,Intermediate,Chest,Lower,Military press,21.27621882,1985.6,0.4995165189,1.655287261,0.8263624842,0.8920016979,171.6,46.95668037,819.5382,8.70E+19,High
37.06,Female,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,Strength,25.78541781,2.39,3,2,24.12,3.02,1,300.3,120.63,80.22,2038,Other,Snack,Vegan,1.96,2075.74,21.79,229.67,Boiled,43.88,57.5,3.84,Decline Push-ups,4.98,22.86,Targets upper chest,333.67,"Shoulders, Upper Back",Cable Machine or Resistance Band,Beginner,Abs,Anterior,Dumbbell front raises,24.12471925,2405.7,0.4993141289,1.651560789,0.6163849155,0.7491363274,914.8,54.20633083,694.0336,5.85E+19,Low
50.23,Female,86.72,1.63,160.86,143.17,58.08,1.7,1326,Yoga,29.12385209,3.51,4,3,32.64,3,-0.01,256.65,103.91,68.88,2212,Other,Breakfast,Balanced,10.7,1357.2,172.78,270.05,Raw,42,120,2.47,Prone Cobras,5,17.09,Strengthens back and legs,356.6,"Upper Chest, Triceps",Bench or Chair,Advanced,Chest,Posterior,Russian twists,32.63954232,2062.16,0.4978275207,1.19822417,0.8278848025,0.8900285963,886,61.46379547,1212.44,1.01E+20,High
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio,29.3186066,1.82,3.98,1.95,26.25,2,1.01,222.21,89.25,58.85,2182,Other,Breakfast,Paleo,15.41,278.9,228.23,407.72,Raw,59.79,72.64,1.76,Glute Bridges,4,24.02,Improves shoulder mobility and posture,353.43,"Chest, Triceps, Shoulders",Step or Box,Advanced,Forearms,Grip Strength,Hyperextensions,26.25423207,1775.49,0.5006167312,1.162563501,0.6182608696,0.7225616179,967.88,54.26210571,897.7122,9.37E+19,High
24.03,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,Cardio,26.76935405,3.48,4.01,3.01,27.56,2.99,-0.01,174.44,69.19,46.48,2410,Other,Lunch,Keto,0.81,299.22,187.88,124.74,Boiled,45.62,15.41,2.76,Lat Pulldowns,3.99,23.85,Builds chest strength,350.66,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises,27.55531975,1392.84,0.5009620631,0.7836674595,0.786769943,0.8651084202,578.19,64.65533731,1234.3232,8.78E+19,High
50.53,Male,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,Strength,22.39259644,2.72,3.99,2,15.63,2.01,0,177.97,71.05,47.3,1510,Other,Lunch,Keto,7.67,1250.31,138.48,220.52,Steamed,46.48,16.29,1.82,Prone Cobras,4.01,14.99,Strengthens lower body,360.04,Triceps,Kettlebell,Beginner,Forearms,Wrist Flexors,Barbell rows,15.62731285,1421.78,0.5006963103,1.246272584,0.5472641103,0.7146426244,332.8,44.24398077,784.8872,1.09E+20,High
54.03,Female,87.22,1.76,188.72,157.91,68,1.48,1067.38,Yoga,28.41849946,3.39,3,2.02,28.16,3,0,296.87,118.4,79.38,2269,Other,Lunch,Keto,15.56,2425.23,235.02,353.93,Fried,25.41,66.78,2.67,Bear Crawls,5,16.88,Builds upper body strength,338.3,"Chest, Triceps",Cable Machine,Advanced,Chest,Middle,Skull crushers,28.15728306,2375.5,0.4998863397,1.357486815,0.7447813121,0.8367422637,1201.62,62.43338477,1001.368,6.55E+19,Medium
25.11,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,Cardio,30.8925715,2.28,2.99,2.01,29.83,4.02,0.02,198.29,79.79,52.85,3016,Other,Lunch,Balanced,43.02,2092.8,254.4,466.3,Raw,50.18,36.63,3.97,Mountain Climbers,3.98,15.03,Builds explosive power,355.39,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch,29.8325034,1587.97,0.4994804688,0.7567336874,0.8287075974,0.8947277739,1738.14,72.86687261,945.3374,9.80E+19,High
39.05,Male,102.34,1.94,192.28,133.68,50.01,0.9,792,Cardio,32.46285886,2.41,3.01,1,27.19,3.02,-0.03,282.28,111.71,74.89,2624,Other,Lunch,Vegan,9.88,434.89,2.84,459.96,Baked,30.6,105.57,1.9,Russian Twists,5.02,22,Builds shoulder width,368.66,Core,Resistance Band,Beginner,Forearms,Posterior,Bicycle crunches,27.19205016,2249.97,0.5018378023,1.091557553,0.5881071203,0.695236114,1832,69.11751024,663.588,1.32E+20,Very High
44.1,Female,89.6,1.99,192.1,135.01,58.1,1.4,1848,HIIT,23.09052321,2.02,4,2,22.63,2.99,1.04,321.28,128.81,85.61,2601,Other,Dinner,Paleo,7.3,2434.23,249.77,96.89,Raw,59.95,49.69,1.91,Shoulder Press,4.99,14.99,Strengthens back and legs,339.35,"Chest, Triceps",Wall,Advanced,Back,Lower,Close-grip bench press,22.62569127,2570.85,0.4998813622,1.437611607,0.5739552239,0.7028110359,753,68.9108912,950.18,6.72E+19,Medium
18.06,Male,58.56,1.61,174.64,150.33,70.81,1.9,2226.42,Strength,24.49692166,2.72,3.99,3.02,22.59,2.99,0.03,231.25,92.48,61.37,1549,Other,Snack,Low-Carb,30.58,276.74,266.46,269.54,Baked,59.07,21.53,1.99,Tricep Dips,4.99,24.98,Improves core stability and balance,334.26,"Back, Biceps",None or Dumbbells,Advanced,Arms,Anterior,Decline cable crossovers,22.591721,1847.25,0.5007443497,1.579234973,0.7658672831,0.8607993587,-677.42,44.21460267,1270.188,5.94E+19,Low
57.07,Female,76.9,1.86,173.05,140.94,55.07,1.15,827.31,Yoga,29.43941071,2.8,3.99,1.99,22.23,1.98,0,207.11,82.81,55.52,1981,Other,Breakfast,Vegetarian,4.58,365.77,281.74,161.5,Fried,7.91,66.82,4.15,Kettlebell Swings,3.99,16.01,Advanced core exercise,353.89,"Shoulders, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lats,Russian twists,22.22800324,1659.36,0.4992527239,1.076853056,0.7278352263,0.8144466917,1153.69,54.26109316,813.947,9.47E+19,High
49.66,Male,52.57,1.84,195.03,124.28,51.7,1.38,1324.8,Cardio,14.84197562,3.1,4,2,15.53,3,-0.02,169.5,68.42,45.57,1497,Other,Snack,Paleo,41.73,2315.93,148.84,212.06,Baked,57.1,8.62,2.2,Resistance Band Pull-Aparts,5.01,16.02,Targets biceps and forearms,346.31,Full Body,Dumbbells,Beginner,Legs,Triceps,Hanging leg raises,15.52752836,1361.81,0.4978668096,1.301502758,0.5063838694,0.6372352971,172.2,44.76757342,955.8156,7.93E+19,Medium
31.63,Male,126.53,1.83,197.68,146.15,61.92,1.1,790.68,Yoga,35,2.09,2.99,1.98,37.78,3,0.02,304.8,122.78,81.51,3255,Other,Breakfast,Keto,44.74,86.45,181.63,284.83,Baked,7.94,54.61,2.2,Leg Raises,5,18.06,Improves lower back strength,361.2,"Glutes, Hamstrings",Cable Machine or Resistance Band,Beginner,Abs,Lower Chest,Bird dog,37.78255547,2443.91,0.4988727081,0.9703627598,0.6204331173,0.7393261837,2464.32,82.2445,794.64,1.12E+20,Very High
41.8,Male,59.72,1.74,194.24,141.17,51.86,1.78,2545.4,HIIT,19.44670308,2.7,5.01,3,19.73,3.01,-0.03,202.57,80.05,53.22,1741,Other,Dinner,Paleo,35.39,2121.96,204.6,433.04,Roasted,8.84,22.7,1.19,Tricep Extensions,5.01,15.88,Strengthens core and improves mobility,364.95,"Quadriceps, Glutes",Barbell,Beginner,Shoulders,Quads,Dumbbell flyes,19.72519487,1609.46,0.5034483616,1.340421969,0.6272650653,0.7267813015,-804.4,48.10642892,1299.222,1.22E+20,Very High
37.51,Male,76.59,1.82,191.56,121.3,49.83,1.49,1072.8,Yoga,22.57558194,2.8,3.98,2,23.12,3.02,-0.02,188.66,76.42,50.28,1950,Other,Lunch,Balanced,2.81,2413.37,111.51,329.67,Roasted,39.77,61.64,2.4,Deadlifts,3.98,19.04,Improves back strength and posture,344.07,"Quadriceps, Calves, Glutes",Pull-up Bar,Beginner,Back,Grip Strength,Plate pinch,23.12220746,1512.84,0.498823405,0.9977803891,0.5042686799,0.633221967,877.2,59.29936179,1025.3286,7.52E+19,Medium
39.98,Male,79.99,1.76,167.75,166.6,74.26,1.63,1902.7,Strength,28.83045323,3.5,5.01,2.97,25.82,3.01,0.01,235.62,94.49,62.77,2030,Other,Dinner,Keto,27.18,1259.35,186.37,484.4,Steamed,41.61,13.87,3.4,Dead Bugs,5.03,21.92,Builds lower body power,348.23,Triceps,Resistance Band,Beginner,Shoulders,Posterior,Leg raises,25.82321798,1885.37,0.499891268,1.181272659,0.9876992192,0.9931445604,127.3,56.92852046,1135.2298,8.30E+19,Medium
25.49,Female,127.55,1.73,167.12,159.98,62.04,1.33,1607.84,HIIT,35,2.91,3.02,1,42.62,2.99,-0.01,296.66,117.99,78.86,3313,Other,Snack,Low-Carb,4,2351.97,119.73,379.38,Boiled,46.93,29.37,2.48,Frog Jumps,2.99,10.07,Builds shoulder width,130.05,"Core, Shoulders, Hips",Wall,Beginner,Arms,Triceps,Bird dog,42.61752815,2368.34,0.5010429246,0.9250490004,0.9320517701,0.9572762087,1705.16,82.9075,345.933,2.70E+16,Low
58.24,Female,56.96,1.7,170.09,121.89,57.07,0.74,895.4,HIIT,23.56504525,2.7,1.99,1,19.71,3,-0.01,205.31,83.24,55.37,1390,Other,Dinner,Low-Carb,8.38,1490.43,270.33,284.74,Roasted,48.63,89.23,3.01,Scissors Kicks,4.99,16.02,Strengthens core and improves mobility,357.81,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Lats,Standing calf raises,19.70934256,1652.53,0.496959208,1.461376404,0.5735268094,0.7166206126,494.6,43.53735023,529.5588,1.04E+20,High
48.18,Female,56.53,1.51,184.75,125.44,52.26,1.37,1311.91,Cardio,28.50765309,2.11,3.97,1.97,24.79,3,0.01,215.24,85.55,57.33,1489,Other,Breakfast,Paleo,35.32,1707.76,53.01,130.6,Roasted,18.25,96.05,1.99,Plyometric Push-ups,5.02,23.09,Improves unilateral leg strength and balance,330.57,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows,24.79277225,1719.13,0.500811457,1.51335574,0.5523435731,0.6789715832,177.09,40.41462371,905.7618,5.42E+19,Low
27.19,Male,88.2,1.98,161.8,152.85,52.99,1.8,2577.96,HIIT,21.0470718,3.5,4.01,3.02,22.5,2.02,1,296.47,118.19,79.21,2531,Other,Dinner,Vegan,19.02,345.67,219.13,116.63,Boiled,31.19,13.76,4.42,Frog Jumps,4,23.96,Improves core stability and upper body strength,336.55,Lower Abs,Box or Platform,Advanced,Abs,Middle,Incline dumbbell press,22.49770432,2371.53,0.5000484919,1.340022676,0.9177465306,0.944684796,-46.96,69.63648267,1211.58,6.28E+19,Low
40.14,Male,51.72,1.61,198.12,128.23,70.18,0.86,566.57,Yoga,23.71315013,3.32,1.99,1,19.95,1.99,-0.02,217.46,86.75,57.22,1325,Other,Snack,Keto,27.11,1959.49,37.92,145.4,Grilled,28.56,78.55,2.62,Push Ups,3.99,23,Strengthens back and improves posture,359.4,"Core, Obliques",Bench or Step,Intermediate,Back,Lower,Hammer curl,19.95293391,1731.82,0.502269289,1.677300851,0.4537283101,0.6472339996,758.43,39.45555876,618.168,1.07E+20,High
41.1,Female,77.05,1.79,171.94,132.06,56.07,1.4,1849.54,HIIT,25.76563404,2,4,2.01,24.05,2.99,0.02,291.2,115.86,77.53,2334,Other,Snack,Paleo,22.78,790.39,88.06,392.68,Roasted,5.79,35.76,4.81,Leg Press,4,22.02,Builds calf muscles,331.76,"Legs, Shoulders, Core",Bench or Sturdy Surface,Advanced,Forearms,Wrist Flexors,Bent-over lateral raises,24.04731438,2326.01,0.5007717078,1.503698897,0.6558211789,0.7680586251,484.46,57.19757898,928.928,5.59E+19,Low
52.36,Female,51.93,1.67,169,124.55,51.78,1.5,1818.3,HIIT,22.05923703,1.51,1.97,1.02,18.62,3.01,0.01,282.27,112.63,74.94,1353,Other,Dinner,Paleo,29.84,1419.55,134.3,177.23,Baked,51.42,67.35,1.53,Bench Press,4.98,18,Targets lower abs,350.88,Shoulders,"Bench, Barbell",Intermediate,Shoulders,Anterior,Leg extensions,18.62024454,2254.06,0.50090947,2.168881186,0.6207984985,0.7369822485,-465.3,40.47463821,1052.64,8.83E+19,High
36.02,Female,109.87,1.77,191.11,156.06,73.76,1.19,786.11,Yoga,33.42563808,3.42,1.99,1.01,35.07,3,0.01,306.41,122.15,82.17,2728,Other,Snack,Vegetarian,46.88,2000.77,252.88,161.17,Raw,20.3,62.42,2.79,Inverted Rows,4,22.99,Strengthens shoulders,369.34,"Shoulders, Triceps",Resistance Band,Intermediate,Arms,Wrist Extensors,Face pulls,35.06974369,2453.77,0.4994926175,1.111768454,0.7013208351,0.8165977709,1941.89,73.14525145,879.0292,1.34E+20,Very High
33.07,Male,102.83,1.75,185.94,140.25,52.91,1.4,1003.8,Yoga,29.93347627,2.21,3,1.95,33.58,3,-0.01,288.65,115.2,76.75,2657,Other,Snack,Balanced,3.45,459.13,251.52,332.16,Roasted,36.93,92.96,3.1,Bench Press,4.03,21.02,Full body workout,363.78,"Lower Chest, Triceps",Cable Machine,Beginner,Chest,Lats,Dumbbell rows,33.57714286,2306.15,0.5006612753,1.120295634,0.6565436368,0.7542755728,1653.2,72.04940635,1018.584,1.19E+20,Very High
37.35,Female,88.65,1.79,182.36,137.78,67.81,1.74,2490.11,HIIT,29.5974905,3.47,5.04,3.01,27.67,3.01,4,428.87,171.53,113.84,2621,Other,Lunch,Balanced,42.99,891.54,16.44,309.1,Boiled,28.96,42.46,1.1,Russian Twists,3.99,21.86,Combines lower body and upper body strength,373.65,"Chest, Triceps",Kettlebell,Beginner,Abs,Middle,Pull-ups,27.66767579,3426.16,0.5007004927,1.934912578,0.6108249673,0.7555384953,130.89,62.41182467,1300.302,1.48E+20,Very High
21.24,Female,80.78,1.9,193.85,137.76,55.01,1.8,2575.98,HIIT,22.69183195,3.5,4.01,3.01,22.38,3.01,-0.01,162.37,63.98,42.89,2174,Other,Breakfast,Paleo,38.15,926.5,217.13,211.58,Baked,38.32,9.49,4.12,Russian Twists,5.01,17.95,Targets lower abs,355.67,"Upper Back, Rear Deltoids",None or Dumbbells,Beginner,Forearms,Middle,Military press,22.3767313,1291.41,0.5029231615,0.7920277296,0.5960097954,0.7106525664,-401.98,62.44953815,1280.412,9.86E+19,High
25.76,Female,70.53,1.5,182.39,142.14,53.94,1.15,1011.08,Cardio,30.919319,2.6,1.97,1,31.35,3,-0.04,217.65,85.89,58.01,1839,Other,Snack,Paleo,4.67,2179.93,116.05,240.22,Fried,37.85,112.78,4.85,Seated Rows,5.01,21.05,Strengthens lower abs,368.91,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups,31.34666667,1736.25,0.501425486,1.217779668,0.6866485014,0.7793190416,827.92,48.72260431,848.493,1.33E+20,Very High
40.09,Male,54.73,1.61,183.75,157.78,64.12,1.55,1209,Yoga,22.60975439,2.71,3.98,3,21.11,2,0.02,274.39,109.75,73.35,1549,Other,Lunch,Balanced,31.52,1792.05,43.21,315.25,Steamed,52.11,112.34,2.86,Calf Raises,4.99,18.01,Improves balance and leg strength,333.31,"Rear Deltoids, Upper Back",Kettlebell,Beginner,Chest,Triceps,Dumbbell rows,21.11415455,2196.71,0.4996380952,2.005298739,0.7829139848,0.8586666667,340,42.35568142,1033.261,5.80E+19,Low
32.59,Male,52.75,1.66,190.86,128.92,71.91,1.26,1248.53,Strength,23.56556909,2.49,2.96,1.01,19.14,3.01,0,247.09,98.22,66.16,1446,Other,Dinner,Vegetarian,2.48,107,201.6,143.15,Baked,9.95,42.06,4.78,Reverse Lunges,4,24.13,Targets obliques and improves core rotation,350.36,Lower Abs,Step or Box,Advanced,Back,Quads,Dumbbell rows,19.14283641,1976.68,0.500010118,1.861990521,0.4792770071,0.6754689301,197.47,40.3191623,882.9072,8.72E+19,High
